race_date,race_place,race_number,race_grade,race_name,start_time
"2025-09-28","中山",11,"G1","スプリンターズS","15:45"
"2025-10-05","東京",11,"G2","毎日王冠",""
"2025-10-05","京都",11,"G2","京都大賞典",""
"2025-10-12","東京",11,"G2","アイルランドT",""
"2025-10-19","京都",11,"G1","秋華賞",""
"2025-10-25","京都",11,"G1","菊花賞",""
"2025-11-02","東京",11,"G1","天皇賞（秋）",""
"2025-11-09","東京",11,"G2","アルゼンチン共和国杯",""
"2025-11-16","京都",11,"G1","エリザベス女王杯",""
"2025-11-23","京都",11,"G1","マイルチャンピオンシップ",""
"2025-11-30","東京",11,"G1","ジャパンカップ",""
"2025-12-07","中京",11,"G1","チャンピオンC",""
"2025-12-14","阪神",11,"G1","阪神ジュベナイルフィリーズ",""
"2025-12-21","阪神",11,"G1","朝日杯フューチュリティS",""
"2025-12-27","中山",11,"G1","ホープフルS",""
"2025-12-28","中山",11,"G1","有馬記念",""